,page_id,text,time,reactions,url
0,يوميات قذيفة هاون في دمشق ,"العيادة التخصصية ConfiDental Clinic لزرع وتجميل الأسنان
أفضل أنواع الزرعات العالمية وبسعر يناسب الجميع
أحدث طرق العلاج والتجميل وفقا لاعلى المعايير
⭕ بكومنت بتوصلك كل التفاصيل
🦷 لحجز موعد استشارة مجاني الاتصال:
0943353123
0113353123
📍العنوان: الروضة جانب رابطة المحاربين القدماء",٤٥ دقيقة,تفاعل ‏١٦٦‏ من الأشخاص مع ‏أعجبني‏,https://m.facebook.com/story.php?story_fbid=325075889182658&id=100050407483221&anchor_composer=false
1,يوميات قذيفة هاون في دمشق ,الإمارات تمنح الفنان بسام كوسا الجنسية الإماراتية ليكون بذلك ثاني فنان سوري يحصل على الجنسية بعد ياسر العظمة.,ساعة واحدة,تفاعل ‏٦٫٣ ألف‏ من الأشخاص مع هذا المنشور;تفاعل ‏٦ آلاف‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٢٠٥‏ من الأشخاص مع ‏أحببته‏;تفاعل ‏٥٠‏ من الأشخاص مع ‏هاهاها‏;تفاعل ‏٢٣‏ من الأشخاص مع ‏واااو‏;تفاعل ‏١٧‏ من الأشخاص مع ‏أدعمه‏;تفاعل ‏٣‏ من الأشخاص مع ‏أغضبني‏;تفاعل ‏٢‏ من الأشخاص مع ‏أحزنني‏,https://m.facebook.com/story.php?story_fbid=325049045852009&id=100050407483221&anchor_composer=false
2,يوميات قذيفة هاون في دمشق ,أكثر من 10 آلاف دولار أمريكي مزورة في دمشق.. المروّج في قبضة العدالة,١٢ ساعة,تفاعل ‏١٫٨ ألف‏ من الأشخاص مع هذا المنشور;تفاعل ‏١٫٨ ألف‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏١٤‏ من الأشخاص مع ‏هاهاها‏;تفاعل ‏١٠‏ من الأشخاص مع ‏واااو‏;تفاعل ‏٤‏ من الأشخاص مع ‏أحببته‏;تفاعل ‏٢‏ من الأشخاص مع ‏أغضبني‏;تفاعل شخص واحد مع ‏أدعمه‏,https://m.facebook.com/story.php?story_fbid=324811105875803&id=100050407483221&anchor_composer=false
3,يوميات قذيفة هاون في دمشق ,وزير الموارد المائية: سوريا بلد جاف,١٣ ساعة,تفاعل ‏٣٫٦ ألف‏ من الأشخاص مع هذا المنشور;تفاعل ‏٣ آلاف‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٤٤٢‏ من الأشخاص مع ‏هاهاها‏;تفاعل ‏٦٦‏ من الأشخاص مع ‏أحزنني‏;تفاعل ‏٦٣‏ من الأشخاص مع ‏واااو‏;تفاعل ‏٢١‏ من الأشخاص مع ‏أغضبني‏;تفاعل ‏٧‏ من الأشخاص مع ‏أحببته‏;تفاعل ‏٢‏ من الأشخاص مع ‏أدعمه‏,https://m.facebook.com/story.php?story_fbid=324794072544173&id=100050407483221&anchor_composer=false
4,يوميات قذيفة هاون في دمشق ,السياحة السعودية تتعهد بتقديم التسهيلات للرحلات إلى سوريا,١٣ ساعة,تفاعل ‏٩٫٦ ألف‏ من الأشخاص مع هذا المنشور;تفاعل ‏٩٫٤ ألف‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏١٢٥‏ من الأشخاص مع ‏أحببته‏;تفاعل ‏٧٥‏ من الأشخاص مع ‏هاهاها‏;تفاعل ‏٢٧‏ من الأشخاص مع ‏واااو‏;تفاعل ‏٢٠‏ من الأشخاص مع ‏أدعمه‏;تفاعل ‏٢‏ من الأشخاص مع ‏أحزنني‏;تفاعل شخص واحد مع ‏أغضبني‏,https://m.facebook.com/story.php?story_fbid=324778932545687&id=100050407483221&anchor_composer=false
5,يوميات قذيفة هاون في دمشق ,"الهندسة:كهربا أو ميكانيك
واللي بقول غير هيك اكيد
....مدني 😁👌🏻
https://www.facebook.com/hvacsyria/",١٤ ساعة,تفاعل ‏١٫٦ ألف‏ من الأشخاص مع هذا المنشور;تفاعل ‏١٫٦ ألف‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٢٤‏ من الأشخاص مع ‏أحببته‏;تفاعل ‏١٠‏ من الأشخاص مع ‏هاهاها‏;تفاعل ‏٣‏ من الأشخاص مع ‏أدعمه‏,https://m.facebook.com/story.php?story_fbid=324760142547566&id=100050407483221&anchor_composer=false
6,يوميات قذيفة هاون في دمشق ,وزارة النفط: توزيع مازوت التدفئة مع بداية شهر تموز,١٤ ساعة,تفاعل ‏٣٫١ ألف‏ من الأشخاص مع هذا المنشور;تفاعل ‏٣ آلاف‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏٥٢‏ من الأشخاص مع ‏هاهاها‏;تفاعل ‏١٠‏ من الأشخاص مع ‏أحببته‏;تفاعل ‏١٠‏ من الأشخاص مع ‏واااو‏;تفاعل ‏٢‏ من الأشخاص مع ‏أدعمه‏,https://m.facebook.com/story.php?story_fbid=324753145881599&id=100050407483221&anchor_composer=false
7,يوميات قذيفة هاون في دمشق ,"(مظلومين وما إلنا حقوق، لا بالمواصلات ولا بفرص العمل)
شاب سوري، من ذوي الإعاقة، يروي معاناته في المجتمع السوري
""مظلومين وما إلنا حقوق، لا بالمواصلات ولا بفرص العمل""
شاب سوري من ذوي الإعاقة (ذوي الهمم) يروي معاناته في المجتمع السوري",١٤ ساعة,تفاعل ‏٢ ألف‏ من الأشخاص مع هذا المنشور;تفاعل ‏١٫٨ ألف‏ من الأشخاص مع ‏أعجبني‏;تفاعل ‏١٨٤‏ من الأشخاص مع ‏أحزنني‏;تفاعل ‏٢٧‏ من الأشخاص مع ‏أحببته‏;تفاعل ‏١٠‏ من الأشخاص مع ‏أدعمه‏;تفاعل ‏٤‏ من الأشخاص مع ‏هاهاها‏;تفاعل ‏٢‏ من الأشخاص مع ‏أغضبني‏,https://m.facebook.com/story.php?story_fbid=324745649215682&id=100050407483221&anchor_composer=false
8,يوميات قذيفة هاون في دمشق ,جامعة دمشق تستخدم آلية جديدة لتزيد من إيرادات استثماراتها,١٥ ساعة,,https://m.facebook.com/story.php?story_fbid=324740235882890&id=100050407483221&anchor_composer=false
9,يوميات قذيفة هاون في دمشق ,"العيادة التخصصية ConfiDental Clinic لزرع وتجميل الأسنان
أفضل أنواع الزرعات العالمية وبسعر يناسب الجميع
أحدث طرق العلاج والتجميل وفقا لاعلى المعايير
⭕ بكومنت بتوصلك كل التفاصيل
🦷 لحجز موعد استشارة مجاني الاتصال:
0943353123
0113353123
📍العنوان: الروضة جانب رابطة المحاربين القدماء",٤٦ دقيقة,تفاعل ‏١٦٨‏ من الأشخاص مع ‏أعجبني‏,https://m.facebook.com/story.php?story_fbid=325075889182658&id=100050407483221&anchor_composer=false
